iter	Logloss
0	0.688269425
1	0.6832533157
2	0.6778084356
3	0.672586331
4	0.6669994157
5	0.6620877454
6	0.6570991488
7	0.6530484072
8	0.648218375
9	0.6426886367
10	0.6383359702
11	0.6337232847
12	0.6295388225
13	0.625250552
14	0.6205792106
15	0.6157710312
16	0.6119672409
17	0.6075580189
18	0.6031440811
19	0.5988828087
20	0.5942449641
21	0.5897875314
22	0.5864638117
23	0.5834662721
24	0.5798623916
25	0.5755290644
26	0.5725481389
27	0.5673802188
28	0.5638920185
29	0.5602008822
30	0.5565650456
31	0.5529417964
32	0.5492588587
33	0.5459387732
34	0.5426468852
35	0.5389164619
36	0.5360209737
37	0.5324228087
38	0.5284536483
39	0.5252099876
40	0.5220379936
41	0.5189712514
42	0.5152289797
43	0.5124089649
44	0.5090186103
45	0.5060199678
46	0.5035181283
47	0.4999941407
48	0.4972664553
49	0.4942463589
50	0.4910624557
51	0.4880728806
52	0.4850607461
53	0.4821033406
54	0.4790705961
55	0.4762028354
56	0.4733031951
57	0.4702465552
58	0.467344328
59	0.4649381687
60	0.4619520481
61	0.4593087704
62	0.4564590513
63	0.4534205345
64	0.4513047772
65	0.4489687961
66	0.4463730922
67	0.4443533613
68	0.4420594238
69	0.4396982767
70	0.4363982095
71	0.4344443544
72	0.4329202634
73	0.43017089
74	0.4278275681
75	0.4257496045
76	0.423159066
77	0.4209848373
78	0.4186983925
79	0.4165054775
80	0.4145780651
81	0.412040581
82	0.4094794602
83	0.4074046368
84	0.404940654
85	0.402537656
86	0.4005762403
87	0.3984398254
88	0.3962200618
89	0.3940309498
90	0.3916634195
91	0.3897054113
92	0.3877482461
93	0.3859279888
94	0.3841088012
95	0.3824382193
96	0.3809902039
97	0.3790825691
98	0.3770780596
99	0.3748565784
100	0.3728560881
101	0.3708795884
102	0.3694978499
103	0.3680007489
104	0.3665966897
105	0.3650337285
106	0.3633451128
107	0.3618349915
108	0.3601870558
109	0.3585417765
110	0.3569697832
111	0.3553346362
112	0.353372874
113	0.3518725313
114	0.3501719155
115	0.3485339122
116	0.3470654783
117	0.3457246268
118	0.3438144968
119	0.3425216085
120	0.3410387409
121	0.3396582198
122	0.3383953722
123	0.3363681132
124	0.3348977017
125	0.3336634935
126	0.3324996374
127	0.3310465461
128	0.3297733093
129	0.3282560487
130	0.3267437701
131	0.3250054128
132	0.3235353657
133	0.3219961565
134	0.3203981619
135	0.3193202385
136	0.3178412087
137	0.3166180122
138	0.3153200323
139	0.3137800797
140	0.3127492347
141	0.3110344498
142	0.309714442
143	0.308164564
144	0.3070487888
145	0.3058947741
146	0.3048040988
147	0.3033309193
148	0.3021455593
149	0.3005620285
150	0.2994468202
151	0.2985549023
152	0.297365295
153	0.296314558
154	0.2951942897
155	0.2942948895
156	0.2932302444
157	0.292436129
158	0.2913073482
159	0.2904670485
160	0.2890454257
161	0.2880364853
162	0.2873531007
163	0.2862358007
164	0.2854677995
165	0.2843006518
166	0.2832210987
167	0.2815600622
168	0.2804871095
169	0.2795810367
170	0.2782500109
171	0.2773319148
172	0.2761977389
173	0.2752974089
174	0.2741668503
175	0.2730147074
176	0.27212762
177	0.2709854807
178	0.2700873746
179	0.2693337795
180	0.2686022741
181	0.2677334243
182	0.2666602074
183	0.2656487048
184	0.2648379938
185	0.2638536407
186	0.2630206246
187	0.2621151069
188	0.2612652359
189	0.2606194063
190	0.2596324206
191	0.2587382002
192	0.2576769708
193	0.256988868
194	0.256096113
195	0.2555623626
196	0.2545006682
197	0.2533203819
198	0.252333464
199	0.251489059
200	0.250611505
201	0.249872027
202	0.2490595248
203	0.2483034419
204	0.2474735563
205	0.2468591613
206	0.2460067137
207	0.2450165702
208	0.2440164542
209	0.2433335194
210	0.2424035232
211	0.2417410993
212	0.2409951059
213	0.2403441885
214	0.2395648083
215	0.2389111612
216	0.2379932533
217	0.2371883847
218	0.2364607677
219	0.2359081678
220	0.2351433521
221	0.2343981098
222	0.2336124368
223	0.2329400344
224	0.2322267196
225	0.2313699976
226	0.230560598
227	0.2296359219
228	0.2288949308
229	0.2281833637
230	0.2274303807
231	0.2269318278
232	0.2262176579
233	0.2258085056
234	0.225198233
235	0.2245728004
236	0.2238824415
237	0.2234131516
238	0.2228890064
239	0.2223607229
240	0.2216428119
241	0.2209031521
242	0.2203021919
243	0.2197004984
244	0.2191095026
245	0.2182707427
246	0.21753823
247	0.217044904
248	0.2165160748
249	0.2158808658
250	0.215167814
251	0.2145352053
252	0.2138499648
253	0.2132442966
254	0.212726253
255	0.2119921988
256	0.2113691705
257	0.2109598133
258	0.2103253628
259	0.2099793026
260	0.2092658668
261	0.208589006
262	0.2078579189
263	0.2071870966
264	0.2063900242
265	0.205741453
266	0.2051830171
267	0.2046546344
268	0.2041247389
269	0.2034931041
270	0.2028749645
271	0.2022937405
272	0.2018143705
273	0.2013252236
274	0.2007606104
275	0.2001311041
276	0.1994435087
277	0.1987960271
278	0.1981559489
279	0.1976770803
280	0.1972006335
281	0.1967450719
282	0.1963449325
283	0.1959112716
284	0.1953132064
285	0.1946205068
286	0.1941800454
287	0.1935723638
288	0.193280118
289	0.1927478138
290	0.1923676591
291	0.1918860014
292	0.1913068751
293	0.1905743007
294	0.1901176031
295	0.1896518359
296	0.1890007199
297	0.1888298368
298	0.1883551463
299	0.1878730323
300	0.1873567396
301	0.1869043181
302	0.1863595966
303	0.1858227974
304	0.1854486593
305	0.185035102
306	0.1845324852
307	0.1839700523
308	0.1835873365
309	0.1831209245
310	0.1826370043
311	0.1822384309
312	0.1816445803
313	0.1812020362
314	0.1805970673
315	0.1802322162
316	0.1796669292
317	0.1793506467
318	0.1789532192
319	0.1785987183
320	0.1781183965
321	0.1776431346
322	0.1772164339
323	0.1768657903
324	0.1764184107
325	0.1758997014
326	0.1755247095
327	0.1751190352
328	0.1748290775
329	0.1743826019
330	0.1739115874
331	0.1735320567
332	0.1730142841
333	0.1726472672
334	0.1721872711
335	0.1718011516
336	0.1714807918
337	0.1710160632
338	0.17076016
339	0.1702542234
340	0.1698720342
341	0.1692990459
342	0.1689481277
343	0.168465117
344	0.1681821722
345	0.1678126697
346	0.167415572
347	0.1670263138
348	0.1666613064
349	0.1661954672
350	0.1659450832
351	0.1655355564
352	0.1652445256
353	0.1648590426
354	0.1645691947
355	0.1642018421
356	0.1637219668
357	0.1632332431
358	0.1629481842
359	0.1626116688
360	0.1621973362
361	0.161750384
362	0.1613609385
363	0.1608086887
364	0.1604572167
365	0.1600798262
366	0.1597669262
367	0.1594077571
368	0.1590115975
369	0.158517857
370	0.1581456963
371	0.1578381919
372	0.1573718003
373	0.1570447813
374	0.1565346681
375	0.1560419803
376	0.1557082698
377	0.1552819094
378	0.1548616631
379	0.1544609666
380	0.1541312232
381	0.1536724079
382	0.1532613951
383	0.1530075987
384	0.1526841189
385	0.1523766669
386	0.1520816308
387	0.1517036204
388	0.1513662728
389	0.1510075809
390	0.1504883898
391	0.1501784917
392	0.1497674927
393	0.1494849569
394	0.1492238145
395	0.1488384089
396	0.1486244594
397	0.1481195893
398	0.1477232681
399	0.1474266983
400	0.1470923414
401	0.1466778129
402	0.1464098398
403	0.1461437952
404	0.1457733279
405	0.1454357624
406	0.1450244987
407	0.1445302687
408	0.1442006539
409	0.1438436692
410	0.1434716874
411	0.1430123899
412	0.1426712931
413	0.1424400938
414	0.1420102177
415	0.1417072984
416	0.1413112861
417	0.1409967841
418	0.1407571217
419	0.14044243
420	0.1400263243
421	0.1397246982
422	0.1395579716
423	0.1393262824
424	0.1391574397
425	0.1388325645
426	0.1386519785
427	0.1384661459
428	0.1382368173
429	0.1378497553
430	0.137474885
431	0.1373918938
432	0.1370413316
433	0.1365888139
434	0.136296727
435	0.1360945142
436	0.1358249129
437	0.1354932126
438	0.1352092003
439	0.1349603791
440	0.1346097246
441	0.1342688806
442	0.1339978609
443	0.1336877858
444	0.1333056439
445	0.1329541801
446	0.1327355013
447	0.1323641403
448	0.1320093879
449	0.1318258426
450	0.1316191757
451	0.1312650835
452	0.1310553138
453	0.1308446318
454	0.1305968838
455	0.1303251488
456	0.1301158682
457	0.1299538714
458	0.1295960689
459	0.1292089225
460	0.1289597234
461	0.1286712089
462	0.128350979
463	0.1281190821
464	0.1279533111
465	0.1276393005
466	0.1272659724
467	0.1269366673
468	0.1267344642
469	0.1263804178
470	0.1262165742
471	0.1260172208
472	0.125662357
473	0.1253981069
474	0.125030936
475	0.1247071002
476	0.1243947085
477	0.1242320373
478	0.1239774462
479	0.1236548693
480	0.1234859355
481	0.1233401866
482	0.1230067868
483	0.1227550743
484	0.1225478178
485	0.1222735318
486	0.1219196571
487	0.1216683673
488	0.1213671871
489	0.1211865094
490	0.1209983457
491	0.1207852834
492	0.1204987188
493	0.1201871458
494	0.1199347674
495	0.1196845723
496	0.1194923278
497	0.1192016113
