iter	Passed	Remaining
0	145	145813
1	196	98195
2	249	82784
3	298	74352
4	355	70839
5	413	68473
6	464	65908
7	520	64513
8	569	62753
9	627	62130
10	678	61008
11	728	60012
12	777	59036
13	829	58393
14	885	58173
15	937	57658
16	988	57142
17	1038	56675
18	1089	56258
19	1138	55767
20	1186	55330
21	1235	54935
22	1289	54765
23	1338	54423
24	1389	54205
25	1441	53996
26	1508	54347
27	1572	54571
28	1631	54617
29	1689	54628
30	1751	54749
31	1809	54726
32	1865	54650
33	1920	54569
34	1972	54377
35	2022	54152
36	2075	54007
37	2125	53815
38	2177	53653
39	2227	53461
40	2276	53251
41	2325	53034
42	2376	52891
43	2431	52826
44	2488	52815
45	2540	52684
46	2590	52536
47	2641	52381
48	2691	52242
49	2753	52309
50	2823	52533
51	2905	52978
52	2959	52878
53	3009	52718
54	3059	52572
55	3111	52458
56	3162	52324
57	3211	52161
58	3261	52018
59	3314	51924
60	3366	51820
61	3414	51664
62	3470	51622
63	3523	51532
64	3575	51429
65	3624	51298
66	3674	51167
67	3724	51042
68	3775	50939
69	3824	50813
70	3875	50710
71	3926	50610
72	3978	50515
73	4030	50439
74	4080	50328
75	4157	50544
76	4209	50457
77	4260	50362
78	4334	50528
79	4386	50448
80	4461	50624
81	4512	50521
82	4561	50399
83	4622	50405
84	4688	50467
85	4737	50344
86	4786	50228
87	4836	50124
88	4888	50036
89	4939	49939
90	4988	49828
91	5044	49786
92	5099	49736
93	5149	49628
94	5197	49515
95	5246	49405
96	5297	49316
97	5356	49299
98	5414	49278
99	5468	49219
100	5532	49240
101	5596	49267
102	5658	49282
103	5718	49270
104	5769	49180
105	5819	49084
106	5877	49053
107	5937	49038
108	5996	49019
109	6053	48977
110	6110	48935
111	6167	48899
112	6226	48877
113	6287	48865
114	6352	48889
115	6430	49002
116	6493	49007
117	6547	48941
118	6603	48886
119	6660	48847
120	6711	48751
121	6760	48650
122	6810	48558
123	6860	48465
124	6913	48395
125	6962	48297
126	7011	48196
127	7060	48097
128	7108	47998
129	7164	47944
130	7219	47888
131	7272	47820
132	7322	47731
133	7372	47646
134	7423	47562
135	7473	47475
136	7527	47419
137	7581	47356
138	7632	47275
139	7681	47184
140	7730	47092
141	7778	46998
142	7830	46930
143	7881	46853
144	7930	46762
145	7979	46674
146	8029	46595
147	8084	46540
148	8133	46455
149	8182	46369
150	8231	46281
151	8280	46194
152	8332	46127
153	8386	46073
154	8438	46001
155	8495	45961
156	8547	45895
157	8604	45853
158	8653	45769
159	8710	45727
160	8760	45654
161	8815	45601
162	8867	45533
163	8921	45476
164	8973	45411
165	9026	45351
166	9077	45278
167	9131	45220
168	9182	45153
169	9237	45101
170	9291	45044
171	9341	44970
172	9393	44905
173	9450	44862
174	9506	44814
175	9561	44765
176	9614	44704
177	9663	44627
178	9712	44549
179	9764	44481
180	9820	44437
181	9872	44372
182	9922	44300
183	9978	44254
184	10030	44188
185	10081	44118
186	10129	44040
187	10178	43963
188	10227	43886
189	10278	43820
190	10328	43746
191	10376	43669
192	10431	43616
193	10484	43558
194	10535	43494
195	10585	43422
196	10634	43349
197	10683	43275
198	10736	43215
199	10790	43161
200	10845	43111
201	10901	43064
202	10951	42995
203	11005	42942
204	11057	42882
205	11108	42817
206	11165	42774
207	11220	42724
208	11274	42669
209	11325	42605
210	11384	42570
211	11435	42504
212	11485	42437
213	11534	42366
214	11583	42292
215	11635	42233
216	11685	42163
217	11733	42090
218	11783	42023
219	11833	41955
220	11890	41911
221	11940	41844
222	11989	41774
223	12038	41704
224	12087	41633
225	12139	41573
226	12188	41504
227	12237	41434
228	12285	41364
229	12334	41293
230	12387	41236
231	12440	41182
232	12489	41115
233	12538	41044
234	12587	40976
235	12639	40916
236	12687	40846
237	12736	40778
238	12787	40716
239	12842	40666
240	12891	40598
241	12941	40535
242	12995	40483
243	13046	40423
244	13095	40355
245	13152	40311
246	13205	40256
247	13258	40201
248	13306	40134
249	13356	40070
250	13405	40003
251	13458	39947
