iter	Passed	Remaining
0	200	200767
1	253	126336
2	304	101300
3	355	88545
4	406	80837
5	458	75935
6	509	72220
7	560	69540
8	611	67370
9	663	65689
10	717	64553
11	769	63379
12	823	62498
13	880	61986
14	931	61179
15	983	60458
16	1034	59820
17	1085	59234
18	1137	58705
19	1188	58224
20	1239	57785
21	1291	57395
22	1342	57010
23	1392	56624
24	1443	56283
25	1494	56000
26	1546	55731
27	1597	55467
28	1652	55339
29	1708	55240
30	1766	55232
31	1837	55577
32	1899	55674
33	1951	55440
34	2002	55220
35	2054	55009
36	2105	54812
37	2157	54610
38	2208	54414
39	2259	54238
40	2311	54076
41	2363	53918
42	2416	53770
43	2466	53591
44	2518	53441
45	2569	53284
46	2620	53138
47	2671	52993
48	2726	52922
49	2778	52795
50	2829	52658
51	2883	52562
52	2935	52452
53	2986	52327
54	3037	52194
55	3089	52086
56	3142	51986
57	3194	51879
58	3245	51770
59	3297	51666
60	3349	51564
61	3403	51484
62	3454	51381
63	3507	51295
64	3558	51194
65	3612	51115
66	3665	51038
67	3719	50979
68	3770	50879
69	3822	50784
70	3874	50693
71	3925	50601
72	3977	50512
73	4029	50418
74	4080	50326
75	4132	50246
76	4183	50151
77	4235	50062
78	4287	49980
79	4338	49897
80	4390	49809
81	4441	49727
82	4493	49649
83	4545	49567
84	4597	49490
85	4649	49413
86	4702	49352
87	4754	49273
88	4806	49195
89	4858	49121
90	4909	49044
91	4960	48960
92	5029	49049
93	5080	48971
94	5132	48893
95	5183	48814
96	5234	48729
97	5285	48650
98	5337	48574
99	5389	48503
100	5441	48437
101	5493	48368
102	5545	48292
103	5597	48223
104	5650	48165
105	5701	48086
106	5754	48026
107	5807	47962
108	5858	47893
109	5910	47819
110	5962	47752
111	6014	47684
112	6066	47621
113	6117	47547
114	6171	47489
115	6223	47429
116	6275	47361
117	6327	47295
118	6379	47227
119	6431	47160
120	6482	47093
121	6534	47026
122	6586	46960
123	6639	46901
124	6690	46835
125	6741	46765
126	6792	46693
127	6844	46626
128	6895	46559
129	6947	46492
130	6999	46429
131	7051	46370
132	7103	46305
133	7155	46241
134	7206	46177
135	7258	46114
136	7310	46049
137	7361	45982
138	7413	45918
139	7464	45854
140	7516	45792
141	7568	45727
142	7620	45669
143	7673	45612
144	7724	45548
145	7776	45485
146	7828	45423
147	7879	45359
148	7931	45302
149	7983	45240
150	8036	45182
151	8088	45125
152	8140	45063
153	8192	45005
154	8244	44943
155	8294	44877
156	8346	44816
